,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
0,-0.123018592596,-0.113675743341,-0.0931920409203,-0.0128325093538,0.0731577947736,-1.25740396976,-0.659466803074,0.334148198366,1.24224042892,0.126010328531,-0.164069250226,1.14223730564,0.447942465544,0.460997194052,1.55519628525,-0.2400803864,-0.230534210801,0.5777945,0.12338508,0.006094656,0.7356274,0.9170353,0.05968585,0.7549207,0.68802667,0.22627988,0.0031906157,0.000104984036,0.0178941,8.898613e-06,0.00017610285,0.00011386682,0.00018844279,0.0019237112,0.002065819,0.053407945,0.02311787,0.012154875,0.6087976,0.17461997,0.04609216,0.7176706,0.24481724,0.1492314,0.09222396,0.07239379,0.023119787,0.00017994014,0.0035053368,0.0019669724,7.815231e-05,0.00058418786,3.8862563e-05,0.002062992,0.00011985054,0.0069944034,0.78054094,0.6759236,0.24569975,0.7565231,0.8199335,0.08591746,0.7716383,0.122852236,0.004831835
1,-0.126631036401,-0.0962117686868,-0.112598389387,-0.00988399330527,0.0785685330629,-1.24354636669,-0.645913720131,0.344815045595,1.23851585388,0.12365539372,-0.153491333127,1.13396728039,0.423713117838,0.473169803619,1.56411194801,-0.237096324563,-0.230149492621,0.6027519,0.1234197,0.006481354,0.752055,0.9176569,0.060236555,0.7634214,0.67127573,0.23229739,0.0033124827,9.483375e-05,0.017293304,9.326356e-06,0.00017457463,0.00011633282,0.00021841965,0.0016938167,0.0021010013,0.055964537,0.02243413,0.012900888,0.62649053,0.17621346,0.04645767,0.72567344,0.24460052,0.15292299,0.096475884,0.0680703,0.023740575,0.00020776995,0.0031375117,0.0019869513,8.1773534e-05,0.00058138336,4.012058e-05,0.002110256,0.000114227565,0.006964244,0.79751766,0.6575946,0.24635305,0.7686661,0.8229973,0.085010655,0.7796833,0.12280228,0.005212992
2,-0.130241706967,-0.0787429511547,-0.131926566362,-0.00693477224559,0.0839602425694,-1.22922575474,-0.632302284241,0.355655670166,1.23477947712,0.121345877647,-0.142909288406,1.12559723854,0.399378836155,0.48537543416,1.5728956461,-0.234145790339,-0.229757040739,0.62717694,0.12345655,0.0068925945,0.76777774,0.91827095,0.060792018,0.7717094,0.65407366,0.23841986,0.0034391007,8.567291e-05,0.016712788,9.775778e-06,0.00017307448,0.0001188623,0.00025316942,0.0014914867,0.002136827,0.058637384,0.021771317,0.013692189,0.6438461,0.1778206,0.04682693,0.7335299,0.24438708,0.15668954,0.100904055,0.06398983,0.024378061,0.00023991047,0.0028083725,0.0020071752,8.557003e-05,0.00057863526,4.142355e-05,0.0021586933,0.00010887625,0.0069344044,0.8134853,0.6387797,0.24700384,0.7803741,0.8260153,0.08411264,0.7875163,0.122755036,0.005624195
3,-0.133848503232,-0.0621939413249,-0.150585561991,-0.00418413756415,0.0891193896532,-1.21445333958,-0.618725121021,0.366753011942,1.23122799397,0.119117677212,-0.132505208254,1.11691236496,0.374961286783,0.49734723568,1.5809674263,-0.231101825833,-0.229130864143,0.6503732,0.12340551,0.0073185298,0.7821256,0.91871196,0.061277762,0.779731,0.63687575,0.24419193,0.0035648441,7.768005e-05,0.016145889,1.02433405e-05,0.00017170983,0.00012120105,0.00029265016,0.0013177376,0.0021745926,0.06134508,0.02115103,0.0145266885,0.66014373,0.17924602,0.047113612,0.7406951,0.24397449,0.16017714,0.10534083,0.060227364,0.025024753,0.00027641395,0.0025213799,0.0020298122,8.943722e-05,0.00057552377,4.269109e-05,0.002207202,0.0001039652,0.006895643,0.82822734,0.6198236,0.24726751,0.7910933,0.82881427,0.08320291,0.79498965,0.12260362,0.0060601756
4,-0.138111338019,-0.0541632845998,-0.164369747043,-0.00281621632166,0.0924002081156,-1.19939470291,-0.605020701885,0.379024207592,1.22851848602,0.117194876075,-0.123885504901,1.10582053661,0.350291848183,0.507295906544,1.58415961266,-0.226979315281,-0.225555792451,0.6680706,0.12237185,0.007668545,0.7900718,0.91774374,0.06112411,0.78736943,0.6236093,0.2464047,0.0036404014,7.270477e-05,0.015516107,1.069145e-05,0.00017083222,0.000121351615,0.00032979192,0.0011973418,0.0022246907,0.063329704,0.020697556,0.015385873,0.66986746,0.1788031,0.046553932,0.742786,0.24127264,0.16045302,0.10847766,0.057330105,0.025628211,0.0003123331,0.0023227835,0.0020718065,9.248372e-05,0.0005676711,4.3259883e-05,0.002246919,0.00010074676,0.006770825,0.84030867,0.6032654,0.24442217,0.7963416,0.8300808,0.08217204,0.80116516,0.1214791,0.0064546587
5,-0.143358677626,-0.0459219105542,-0.179017022252,-0.00146959314588,0.0960684940219,-1.18305945396,-0.591596007347,0.391225397587,1.22594118118,0.115141607821,-0.112222217023,1.09325528145,0.326138585806,0.516942322254,1.58752584457,-0.222578212619,-0.223811745644,0.6857355,0.12140811,0.008072947,0.7975049,0.9167499,0.061016165,0.7947566,0.6099304,0.24919075,0.0037149661,6.805839e-05,0.014926304,1.1137508e-05,0.00016981135,0.00012159243,0.00037138863,0.0010854795,0.0022771617,0.06553967,0.02025751,0.016327364,0.67933655,0.17817351,0.046033286,0.7447454,0.23839352,0.16073222,0.111682735,0.05458052,0.026353676,0.00035271473,0.0021318174,0.0021122994,9.575033e-05,0.00055889104,4.384499e-05,0.0022855687,9.7475204e-05,0.006642692,0.85147834,0.5869999,0.24175115,0.80124724,0.83120847,0.08113643,0.80691475,0.12038663,0.006902654
6,-0.149362385273,-0.0374728031456,-0.19438572228,-8.5314779426e-05,0.10005312413,-1.1655472517,-0.578397452831,0.40342861414,1.22338294983,0.113012827933,-0.0983105748892,1.07948243618,0.302559912205,0.526418447495,1.59105658531,-0.218018144369,-0.2233440727,0.7031803,0.12052271,0.008530765,0.80450606,0.9157511,0.060951404,0.8018765,0.5958968,0.25252083,0.0037902328,6.3729756e-05,0.014378113,1.158697e-05,0.00016864343,0.00012191379,0.00041796494,0.0009822522,0.0023330054,0.067950994,0.01982291,0.017358715,0.68853027,0.17741124,0.045560453,0.74657446,0.23537582,0.16105928,0.11497123,0.05194309,0.02718851,0.0003982689,0.0019514442,0.002152401,9.923124e-05,0.0005494876,4.4446617e-05,0.0023235572,9.4237424e-05,0.0065163197,0.861814,0.57092905,0.23932958,0.8058486,0.83227575,0.08010791,0.8122812,0.11929469,0.007406095
7,-0.155364304781,-0.0290514212102,-0.209656998515,0.00129574129824,0.104021370411,-1.14750909805,-0.565171122551,0.415761888027,1.22082281113,0.1109328866,-0.0844214260578,1.06549096107,0.278976261616,0.535866856575,1.59454643726,-0.213549092412,-0.222850307822,0.7200056,0.119656146,0.009015643,0.8112889,0.91472226,0.060888827,0.808769,0.5816792,0.25584513,0.0038676783,5.9710976e-05,0.013851586,1.2062563e-05,0.00016756819,0.00012229873,0.00047044782,0.000889278,0.0023905013,0.070456035,0.019403541,0.01845567,0.6975566,0.17667116,0.045098554,0.7483776,0.23240839,0.1613912,0.118357934,0.0494405,0.028052261,0.00044977933,0.0017870287,0.0021935063,0.00010288791,0.0005404915,4.50828e-05,0.0023626834,9.115063e-05,0.0063933656,0.87149894,0.5546918,0.23690642,0.81034094,0.8333087,0.07909226,0.8174999,0.11822481,0.007947207
8,-0.161368846893,-0.0206667110324,-0.224824160337,0.00267305341549,0.107972301543,-1.12895298004,-0.551917970181,0.428211212158,1.2182585001,0.108901835978,-0.0705731585622,1.05129027367,0.255402058363,0.545280873775,1.59798645973,-0.209172531962,-0.222315981984,0.736183,0.118810035,0.00952945,0.8178515,0.91365916,0.060828842,0.81543064,0.5672973,0.2591566,0.00394748,5.598291e-05,0.013346254,1.2567453e-05,0.00016659765,0.00012275744,0.0005296092,0.0008055745,0.0024497735,0.07305994,0.018999992,0.019622386,0.7064049,0.17595503,0.04464836,0.7501516,0.22949332,0.16172975,0.121846795,0.047067802,0.028946431,0.00050805043,0.0016372326,0.002235697,0.00010673682,0.000531924,4.57588e-05,0.0024030588,8.821396e-05,0.0062738913,0.88055456,0.5383163,0.23447858,0.81472,0.834304,0.078090355,0.82256705,0.11717892,0.008529047
9,-0.167376279831,-0.0123225282878,-0.239877611399,0.00404606899247,0.111903838813,-1.10989284515,-0.538640856743,0.440759927034,1.21568930149,0.10691998899,-0.0567681603134,1.03688681126,0.231858685613,0.554651677608,1.60137879848,-0.204886987805,-0.221744164824,0.751691,0.117986105,0.010074234,0.82419306,0.91255736,0.060771864,0.82186043,0.552766,0.26244897,0.0040298207,5.25279e-05,0.012861417,1.3105143e-05,0.00016574125,0.00012330155,0.0005963237,0.0007302347,0.0025109283,0.07576834,0.018612515,0.0208637,0.7150704,0.17526577,0.044210635,0.7518933,0.22663441,0.16207618,0.12544322,0.044820257,0.02987269,0.00057399645,0.0015008042,0.0022790474,0.000110798865,0.0005238044,4.648034e-05,0.0024448307,8.542483e-05,0.006157968,0.8890058,0.5218345,0.23204462,0.8189844,0.8352575,0.0771016,0.8274815,0.116157986,0.009154983
